Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearning,,,2019-03-30 16:50:58,2019-03-30 16:51:01,3.177s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-30 16:50:58,2019-03-30 16:51:00,2.234s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-30 16:50:58,2019-03-30 16:51:00,1.677s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-30 16:51:00,2019-03-30 16:51:00,0.132s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-30 16:51:00,2019-03-30 16:51:00,0.106s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-30 16:51:00,2019-03-30 16:51:00,0.109s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-30 16:51:00,2019-03-30 16:51:01,0.741s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-30 16:51:01,2019-03-30 16:51:01,0.579s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-30 16:51:01,2019-03-30 16:51:01,0.079s,PASSED
