Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
APITestingLearningTestSuite,,,2019-03-31 13:49:50,2019-03-31 13:49:57,6.261s,PASSED
,,,,,,
Test Cases/HTTPMethods,,,2019-03-31 13:49:51,2019-03-31 13:49:53,1.988s,PASSED
"sendRequest(findTestObject(""UserRestService/CreateUser""))",,,2019-03-31 13:49:51,2019-03-31 13:49:52,1.455s,PASSED
"sendRequest(findTestObject(""UserRestService/UpdateUser""))",,,2019-03-31 13:49:52,2019-03-31 13:49:52,0.112s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-31 13:49:52,2019-03-31 13:49:53,0.123s,PASSED
"sendRequest(findTestObject(""UserRestService/DeleteUser""))",,,2019-03-31 13:49:53,2019-03-31 13:49:53,0.098s,PASSED
,,,,,,
Test Cases/JSONPlaceholderTypicodeTest,,,2019-03-31 13:49:53,2019-03-31 13:49:54,0.898s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/PostRequest""))",,,2019-03-31 13:49:53,2019-03-31 13:49:53,0.733s,PASSED
"sendRequest(findTestObject(""JSONPlaceholderTypicode/GetRequest""))",,,2019-03-31 13:49:53,2019-03-31 13:49:54,0.078s,PASSED
,,,,,,
Test Cases/SoapWSDLLatitudeLongitudeTest,,,2019-03-31 13:49:54,2019-03-31 13:49:56,2.415s,PASSED
"response1 = sendRequest(findTestObject(""LatLong_SOAPWSDL/GetLatLong_ByZipcode""))",,,2019-03-31 13:49:54,2019-03-31 13:49:55,1.553s,PASSED
xml1 = response1.getResponseText(),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.005s,PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.017s,PASSED
println(dataValue),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.002s,PASSED
parseString = dataValue.toString(),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
"array1 = parseString.split(""<latLonList>"")",,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.002s,PASSED
"array2 = array1[1].split(""</latLonList>/"")",,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
latitudelongitude = array2[0],,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
println(latitudelongitude),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
"latitudearray = latitudelongitude.split("","")",,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
"latitude = latitudearray[0].substring(0, 2)",,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
println(latitude),,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.001s,PASSED
lat = latitude,,,2019-03-31 13:49:55,2019-03-31 13:49:55,0.054s,PASSED
"sendRequestAndVerify(findTestObject(""LatLong_SOAPWSDL/GetCity_ByLatLong""))",,,2019-03-31 13:49:55,2019-03-31 13:49:56,0.670s,PASSED
,,,,,,
Test Cases/APIChainingJSON,,,2019-03-31 13:49:56,2019-03-31 13:49:57,0.750s,PASSED
"response1 = sendRequest(findTestObject(""APIChainRestService/ListUsers""))",,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.358s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.004s,PASSED
result = slurper.parseText(response1.getResponseBodyContent()),,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.010s,PASSED
value = first_name,,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.007s,PASSED
"println(""Value extracted is "" + value)",,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.001s,PASSED
username = value,,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.000s,PASSED
"println(""Global variable username is "" + username)",,,2019-03-31 13:49:56,2019-03-31 13:49:56,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""APIChainRestService/UpdateUser""))",,,2019-03-31 13:49:56,2019-03-31 13:49:57,0.264s,PASSED
